LABEL,S,2E,lambda,Tc,kappa,K
t3050,6,34,1.5465785790301747,3.3694866366725624,5.666666666666667,3
t3051,5,26,1.449257536714307,3.023270000649004,5.2,3
t3052,6,32,1.4770983733735372,3.118520977156776,5.333333333333333,3
t3053,12,60,1.4084112233518773,2.902358146353868,5.0,3
t3054,13,66,1.4253525075180342,2.965027026611936,5.076923076923077,3
t3055,6,30,1.409700668047782,2.9153683212798933,5.0,3
t3056,18,90,1.4034746407390262,2.867417388312868,5.0,3
t3057,13,66,1.4268743794527003,2.9775518590550694,5.076923076923077,3
t3058,11,60,1.49538248438142,3.154384552569032,5.454545454545454,3
t3059,15,84,1.527637763804483,3.2804975821305784,5.6,3
t3060,18,102,1.542338400212708,3.3391885937631383,5.666666666666667,3
t3061,7,36,1.4248456813285375,2.895940080624485,5.142857142857143,3
t4001,25,84,0.9180249630863018,1.650369010718268,3.36,4
t4002,26,96,1.0193035037295908,1.8120705370181576,3.692307692307693,4
t4003,14,54,1.0834168758627938,1.984892529963716,3.857142857142857,4
t4004,11,42,1.0574043857508095,1.8883852087396904,3.8181818181818175,4
t4005,14,60,1.185685983797078,2.218426638714864,4.285714285714286,4
t4006,30,120,1.1303720047578285,2.1158341222492725,4.0,4
t4007,20,78,1.0819654744457747,1.9419406562826231,3.9,4
t4008,27,108,1.1119418414633893,2.010968423816699,4.0,4
t4009,21,84,1.1150775268238025,2.068500312794112,4.0,4
t4010,24,102,1.182579427427891,2.257505987702055,4.25,4
t4011,8,30,1.0490009532459692,1.926173093793636,3.75,4
t4012,7,30,1.1861060209847227,2.225311303821113,4.285714285714286,4
t4013,8,36,1.2408653650258603,2.36070461520266,4.5,4
t4014,19,66,0.952807435084516,1.7004378748187194,3.473684210526316,4
t4015,7,24,0.9463693540609516,1.741705375766904,3.4285714285714284,4
t4016,8,30,1.036052118498021,1.9094104294954013,3.75,4
t4017,15,54,0.9913944977744702,1.762263636857072,3.6,4
t4018,12,48,1.1288733819977033,2.083222255587,4.0,4
t4019,9,36,1.1123484579453649,1.9958362706790944,4.0,4
t4020,12,54,1.2479330867330416,2.365920587926861,4.5,4
t4021,11,42,1.0732706381129908,1.9875084162852648,3.8181818181818175,4
t4022,20,78,1.1004072447288122,2.048394837947429,3.9,4
t4023,10,42,1.1787435528089876,2.195138522555616,4.2,4
t4024,13,60,1.2879462672643407,2.492540213804901,4.615384615384615,4
t4025,48,180,1.0574619431037828,1.9375177526079324,3.75,4
t4026,42,162,1.0762456637614215,1.9354226676011907,3.857142857142857,4
t4027,36,138,1.0690732874924196,1.9128497904505368,3.8333333333333335,4
t4028,42,144,0.9390691534904018,1.6351877460541575,3.4285714285714284,4
t4029,42,144,0.9379386824368138,1.6291589445918415,3.4285714285714284,4
t4030,14,52,1.0184944055281138,1.7681805729230688,3.7142857142857135,4
t4031,30,108,0.9585279742245264,1.521804442096211,3.6,4
t4032,30,108,0.9631868985783516,1.5403507295090813,3.6,4
t4033,28,92,0.8329919322515483,1.3475088222274827,3.2857142857142856,4
t4034,25,102,1.109888789161567,1.7781667433695527,4.08,4
t4035,25,102,1.1138723574742906,1.7870143451084763,4.08,4
t4036,12,48,1.0936786208905818,1.829822571363536,4.0,4
t4037,14,58,1.1403319952215465,1.949750259317007,4.142857142857143,4
t4038,8,34,1.2269220012062076,2.413598350580649,4.25,4
t4039,13,52,1.158491791460049,2.232312254879274,4.0,4
t4040,13,52,1.1584918451227355,2.232310179516929,4.0,4
t4041,8,36,1.2871398007505788,2.5638145123814216,4.5,4
t4042,7,32,1.3004830794447908,2.6079294558748907,4.571428571428571,4
t4043,8,38,1.340073331948705,2.7207644760450407,4.75,4
t4044,14,56,1.1517204745825944,2.2002824254657907,4.0,4
t4045,14,56,1.1518711140537683,2.2023782577711963,4.0,4
t4046,12,48,1.148299518538312,2.183475471269939,4.0,4
t4047,12,48,1.1502163808647503,2.197145094172964,4.0,4
t4048,14,56,1.1517190378272537,2.200213354802816,4.0,4
t4049,14,56,1.151869507853711,2.202310017591627,4.0,4
t4050,12,48,1.1482976413362809,2.183389399360376,4.0,4
t4051,12,48,1.1502149181160526,2.197064710290838,4.0,4
t4052,7,32,1.304748476990358,2.607929455873668,4.571428571428571,4
t4053,8,38,1.347266228396274,2.7207644760426297,4.75,4
t4054,8,40,1.4003532169502355,2.885390081768712,5.0,4
t4055,7,36,1.4290426016091036,2.98328103385588,5.142857142857143,4
t4056,8,42,1.4523772468627016,3.0586652928449003,5.25,4
t4057,16,76,1.348709990726299,2.736890326104976,4.75,4
t4058,7,30,1.2355870603469092,2.434680772088284,4.285714285714286,4
t4059,11,44,1.1570795332823938,2.2256961575271346,4.0,4
t4060,11,44,1.1570793697052684,2.225681881126489,4.0,4
t4061,7,32,1.3043907893415942,2.607929455874073,4.571428571428571,4
t4062,6,28,1.3228231815564608,2.66764196292163,4.666666666666667,4
t4063,7,34,1.364864483262275,2.7903225822076503,4.857142857142857,4
t4064,12,48,1.149292162184082,2.189197358856198,4.0,4
t4065,12,48,1.1494683617976431,2.1916907292796,4.0,4
t4066,10,40,1.1446932818389894,2.1668096958903145,4.0,4
t4067,10,40,1.1470001857745058,2.1834692850084445,4.0,4
t4068,12,48,1.1492748813467226,2.1887387584411724,4.0,4
t4069,12,48,1.1494512147230052,2.1912378174463334,4.0,4
t4070,10,40,1.1446718447062596,2.166219519067,4.0,4
t4071,10,40,1.146979425518626,2.182919341111301,4.0,4
t4072,7,34,1.3730096421846438,2.7903225822098805,4.857142857142857,4
t4073,7,36,1.4336146735802773,2.983281033853968,5.142857142857143,4
t4074,6,32,1.47258161915643,3.1185209771558102,5.333333333333333,4
t4075,7,38,1.4930149547922165,3.188293406787849,5.428571428571429,4
t4076,8,38,1.3475468121629617,2.720764476042319,4.75,4
t4077,7,34,1.369458565956703,2.7903225822256568,4.857142857142857,4
t4078,8,40,1.4003819234122548,2.8853900817871407,5.0,4
t4079,24,116,1.3690236387761048,2.7935117426231084,4.833333333333333,4
t4080,26,104,1.148826910195993,2.178543704546061,4.0,4
t4081,17,72,1.1798223070524252,2.095258799870653,4.235294117647059,4
t4082,16,80,1.4053683990949049,2.903640250180261,5.0,4
t4083,36,144,1.1456110326148272,2.167337338670623,4.0,4
t4084,25,108,1.2307312516028954,2.3639311909990006,4.32,4
t4085,12,50,1.188549559680636,2.2564735761112056,4.166666666666667,4
t4086,11,44,1.1362038238968184,2.127341325102855,4.0,4
t4087,11,44,1.140461350936682,2.1586438814085147,4.0,4
t4088,12,56,1.3071546033112458,2.573101682726956,4.666666666666667,4
t4089,11,44,1.1360010175136923,2.1241850240824887,4.0,4
t4090,11,44,1.1402679002323357,2.155815721687221,4.0,4
t4091,12,56,1.3070015551494722,2.5718746884509174,4.666666666666667,4
t4092,11,52,1.3283144798410544,2.652237330175048,4.727272727272728,4
t4093,11,44,1.1453636409437171,2.1583048797174373,4.0,4
t4094,36,144,1.1445599895197949,2.1567783746893023,4.0,4
t4095,30,120,1.1426646610915394,2.158707463576253,4.0,4
t4096,11,52,1.3307428155370666,2.6242770336689114,4.727272727272728,4
t4097,12,56,1.3213483559179091,2.623418494626617,4.666666666666667,4
t4098,11,52,1.3312943806340751,2.634819067661475,4.727272727272728,4
t4099,8,36,1.2754291800726736,2.478883581514726,4.5,4
t4100,30,150,1.397960214562752,2.8449905202615606,5.0,4
t4101,27,132,1.3744642069956217,2.788343182187681,4.888888888888889,4
t4102,36,162,1.279522317126647,2.508971601857776,4.5,4
t4103,30,150,1.3999646906006171,2.877719526152416,5.0,4
t4104,27,132,1.3765072044239648,2.816046969718452,4.888888888888889,4
t4105,25,108,1.229433075298322,2.355804905470478,4.32,4
t4106,10,44,1.2534864782577124,2.4391436453191533,4.4,4
t4107,28,128,1.2991780061073654,2.5775617781459195,4.571428571428571,4
t4108,30,126,1.1857812519217923,2.1938042203129524,4.2,4
t4109,12,54,1.2543847353638409,2.3424371256339453,4.5,4
t4110,30,144,1.3330941195801924,2.5660692860894496,4.8,4
t4111,19,78,1.1547418534019012,2.132186812580805,4.105263157894737,4
t4112,7,30,1.2035836580159451,2.245517339789856,4.285714285714286,4
t4113,14,60,1.2035844150966093,2.245443027589078,4.285714285714286,4
t4114,9,36,1.1331320912168692,2.1245033740742496,4.0,4
t4115,10,48,1.3341601215178367,2.629408850630669,4.8,4
t4116,8,36,1.2619723893585946,2.42307296139693,4.5,4
t4117,9,36,1.1304949196339136,2.10468509274656,4.0,4
t4118,21,90,1.2066811534600117,2.263585143651253,4.285714285714286,4
t4119,24,102,1.197837690304826,2.249666284233392,4.25,4
t4120,16,72,1.2623972344474543,2.4047937716081904,4.5,4
t4121,7,30,1.203455658272681,2.251370789938031,4.285714285714286,4
t4122,7,36,1.4154834213123206,2.844623696651974,5.142857142857143,4
t4123,8,42,1.4407092660575946,2.930819686677579,5.25,4
t4124,10,48,1.3361835602707657,2.639448688451762,4.8,4
t4125,16,72,1.2645899213823508,2.4384957072517826,4.5,4
t4126,9,44,1.3706952917217077,2.741607522109296,4.888888888888889,4
t4127,9,44,1.370695687649304,2.7416075221254754,4.888888888888889,4
t4128,7,36,1.421392948585012,2.885390081768572,5.142857142857143,4
t4129,10,48,1.3414171347534225,2.6352873861394173,4.8,4
t4130,36,180,1.379496697736528,2.688515891941905,5.0,4
t4131,32,150,1.3108228474612076,2.526507383760088,4.6875,4
t4132,16,68,1.1820401782250012,2.1069522826572458,4.25,4
t4133,7,36,1.4371676612607138,2.983281033836636,5.142857142857143,4
t4134,8,42,1.4595656901222729,3.0586652928475355,5.25,4
t4135,8,42,1.4598203411291353,3.058665292865401,5.25,4
t4136,7,40,1.5564101363609937,3.406947270207211,5.714285714285714,4
t4137,8,46,1.5637803651801043,3.435321989451156,5.75,4
t4138,21,108,1.4385738404215578,3.000214790591241,5.142857142857143,4
t4139,7,38,1.4969044867099752,3.188293406767372,5.428571428571429,4
t4140,8,44,1.511733734696549,3.24161338860052,5.5,4
t4141,7,38,1.497239023981897,3.1882934067864146,5.428571428571429,4
t4142,16,80,1.4080408486420208,2.8981992073526177,5.0,4
t4143,8,40,1.4090172140155546,2.90822434173177,5.0,4
t4144,16,80,1.4099896294766,2.918129648850142,5.0,4
t4145,9,46,1.4324686966697695,2.983285258672705,5.111111111111111,4
t4146,19,102,1.4858840760361265,3.159233814625069,5.368421052631579,4
t4147,10,52,1.4517239345484616,3.052074762854712,5.2,4
t4148,20,114,1.549669082267442,3.368912551774309,5.7,4
t4149,24,138,1.560647342038397,3.4137374754092806,5.75,4
t4150,19,102,1.4757019474707986,3.0749643256661368,5.368421052631579,4
t4151,8,42,1.4492420783662985,2.982820400666661,5.25,4
t5001,18,66,1.0223460947645258,1.863274133678987,3.6666666666666665,5
t5002,15,54,0.9909828080448672,1.771273900613732,3.6,5
t5003,18,72,1.1020216796672708,2.0383180037673285,4.0,5
t5004,9,30,0.9155837758852522,1.6901908002715456,3.333333333333333,5
t5005,10,36,0.9904568629107224,1.8262297332778727,3.6,5
t5006,18,72,1.111914355505749,2.0019642995950284,4.0,5
t5007,16,66,1.1441970378231696,2.055089790568984,4.125,5
t5008,36,144,1.1193999373047705,2.0504801185298374,4.0,5
t5009,36,138,1.078085911736978,2.004718182157632,3.8333333333333335,5
t5010,30,126,1.1730838292132055,2.2125178743927107,4.2,5
t5011,29,132,1.2594095172064943,2.483338365258815,4.551724137931035,5
t5012,30,138,1.2713572945424931,2.5019748665171857,4.6,5
t5013,10,42,1.1711405064135505,2.1801420328291585,4.2,5
t5014,9,42,1.283033157612944,2.4718824549645086,4.666666666666667,5
t5015,10,48,1.3165834253170494,2.564908922103815,4.8,5
t5016,16,60,1.049099985430512,1.9149621234508565,3.75,5
t5017,13,48,1.019116668793805,1.8187657032646896,3.692307692307693,5
t5018,16,66,1.1386828606827433,2.1148872759401853,4.125,5
t5019,10,36,1.0009020009218117,1.837870026890558,3.6,5
t5020,9,36,1.1024193263778117,2.048641703052268,4.0,5
t5021,10,42,1.1546855030921486,2.1657049362217418,4.2,5
t5022,16,66,1.149590906421999,2.083144583504648,4.125,5
t5023,14,60,1.191807773448659,2.167845373942241,4.285714285714286,5
t5024,12,48,1.1200352554834283,2.057719463131129,4.0,5
t5025,36,138,1.0784852774978793,2.001165324018194,3.8333333333333335,5
t5026,16,66,1.155151012774734,2.1317469170788432,4.125,5
t5027,9,36,1.1175112398277232,2.0478043488501205,4.0,5
t5028,19,78,1.1469179029628718,2.123331193342966,4.105263157894737,5
t5029,16,66,1.1728711911212608,2.2033263631176934,4.125,5
t5030,21,90,1.199744062844826,2.252539583077409,4.285714285714286,5
t5031,12,48,1.120182218539466,2.049744947191221,4.0,5
t5032,50,168,0.8904424843914126,1.4914070291844346,3.36,5
t5033,50,204,1.14585850441686,2.12659466450524,4.08,5
t5034,54,204,1.0642120547058915,1.9689901492872104,3.7777777777777777,5
t5035,44,186,1.1757294826919158,2.225763426899252,4.227272727272728,5
t5036,48,180,1.0555599734664929,1.9201687356827075,3.75,5
t5037,43,156,0.9936909206787798,1.6760348394710722,3.627906976744186,5
t5038,43,156,0.9928816501255604,1.6747702411293195,3.627906976744186,5
t5039,18,60,0.9034734283954552,1.579552677291012,3.333333333333333,5
t5040,54,180,0.9033074362488784,1.559944865442414,3.333333333333333,5
t5041,54,180,0.9024255866299602,1.5561414078602684,3.333333333333333,5
t5042,54,216,1.088801977175527,1.8011754222049954,4.0,5
t5043,14,52,1.0102369331688938,1.6873959543428192,3.7142857142857135,5
t5044,14,46,0.8329431448978037,1.353383815093604,3.2857142857142856,5
t5045,16,56,0.9135082637404516,1.5155106762462265,3.5,5
t5046,31,120,1.0351400702318938,1.5706231471762224,3.870967741935484,5
t5047,31,120,1.0384362592908662,1.5739206884140748,3.870967741935484,5
t5048,16,68,1.1743884975646677,2.0281657294266746,4.25,5
